x,y,z,neuron_id,column,celltype
-182.792,318.009,-586.852,26191,10,9
26.78,109.438,-563.12,26202,10,9
-128.155,225.904,-531.796,26237,11,9
-40.028,272.334,-554.658,26240,11,9
-146.702,245.428,-469.872,26365,9,9
-74.653,119.363,-615.387,26367,9,9
-62.095,256.471,-559.491,26367,9,9
-101.864,216.86,-416.107,26368,9,9
-111.731,219.255,-380.52,26369,9,9
-180.898,255.993,-547.091,26371,9,9
-201.438,185.724,-593.506,26384,10,9
-177.114,209.487,-604.146,26384,10,9
-160.4,221.887,-520.953,26452,11,9
56.03,250.945,-604.549,26577,10,9
-10.265,308.678,-611.899,26615,10,9
-68.67,254.988,-590.816,26624,11,9
-150.955,216.43,-517.894,26628,11,9
-14.479,357.228,-513.341,26757,9,9
-111.896,289.695,30.249,26762,9,9
-88.726,239.769,-577.351,26763,9,9
-157.179,204.991,-447.124,26768,9,9
-152.635,261.02,-662.593,26809,7,9
-118.896,207.83,-512.622,26816,11,9
-222.149,298.626,-521.476,26858,11,9
-64.304,262.767,-592.784,27037,11,9
-16.002,190.417,-628.389,27040,11,9
-96.482,238.861,-574.694,27045,11,9
-121.405,235.944,-446.468,27128,9,9
-85.209,206.018,-389.32,27128,9,9
-151.674,255.696,-642.034,27172,7,9
53.381,249.031,-602.898,27222,11,9
-154.116,238.165,-616.422,27349,7,9
-183.092,284.75,-688.439,27369,7,9
-182.856,299.073,-677.689,27952,7,9
-145.736,283.657,-601.68,31847,18,9
-158.756,268.601,-520.102,32298,18,9
-130.543,258.739,-655.064,32713,18,9
-74.306,115.907,-618.256,32997,16,9
-69.129,98.429,-629.827,33033,16,9
-144.592,279.905,-600.258,33120,18,9
-146.474,281.777,-601.306,33135,18,9
-128.069,145.394,-591.302,33864,23,9
-190.003,234.537,-491.211,34044,18,9
-183.782,239.857,-474.328,34048,18,9
-76.957,125.09,-613.929,34354,16,9
-161.663,204.537,-379.661,34447,18,9
-167.46,202.951,-372.914,34919,18,9
-166.715,200.196,-356.152,34943,18,9
-149.528,287.135,-686.865,35287,18,9
-142.286,166.642,-593.301,35594,13,9
-128.234,138.605,-590.474,35884,23,9
-197.635,260.952,-496.248,35910,12,9
-161.706,124.088,-518.233,35942,13,9
-165.761,324.408,-632.747,35974,13,9
-47.317,312.974,-333.369,36013,14,9
-73.395,322.865,-542.827,36043,14,9
-160.943,318.114,-623.978,36265,13,9
-93.962,209.373,-517.237,36282,13,9
-135.74,338.584,-467.442,36282,13,9
-4.987,107.983,-567.332,36286,13,9
-34.205,202.14,-537.038,36286,13,9
-84.542,131.295,-484.761,36287,13,9
-73.419,165.035,-553.102,36302,13,9
-134.459,322.971,-469.939,36602,13,9
-90.303,186.908,-514.342,36615,13,9
-147.169,387.787,-502.415,36628,13,9
5.446,103.476,-563.922,36631,13,9
-58.277,248.233,-636.995,36637,13,9
-41.368,231.645,-582.309,36637,13,9
-251.937,319.939,-678.324,36638,13,9
-168.598,259.742,-609.479,36638,13,9
-91.095,378.324,467.553,36701,14,9
-77.373,114.745,-559.398,36901,13,9
-9.749,191.554,-633.061,36909,13,9
-74.653,119.363,-615.387,36916,13,9
-78.057,128.504,-609.192,36917,13,9
-309.638,258.27,-535.756,36920,13,9
-107.195,209.525,-512.747,36925,13,9
-77.412,136.794,-604.358,36926,13,9
-153.948,309.946,-623.737,36932,13,9
62.844,366.496,461.778,36973,14,9
-103.51,171.432,-428.702,37207,12,9
-74.498,179.263,-527.579,37222,13,9
-130.316,268.164,-510.464,37227,13,9
-290.895,201.996,-612.693,37229,13,9
-171.287,275.967,-631.133,37231,13,9
-143.497,275.203,-667.618,37231,13,9
-75.001,108.554,-553.861,37236,13,9
-55.464,169.357,-494.526,37240,13,9
-263.109,210.803,-607.904,37253,13,9
-68.965,329.265,-537.237,37255,13,9
-67.13,329.61,-535.652,37289,14,9
-99.952,356.137,412.547,37293,14,9
-47.081,336.367,478.595,37303,14,9
-62.787,146.389,-570.495,37539,13,9
-137.967,266.965,-594.82,37540,13,9
-12.785,261.609,-700.234,37544,13,9
-19.701,195.303,-314.805,37544,13,9
-295.63,203.905,-613.056,37546,13,9
-103.875,70.318,-551.165,37548,13,9
-172.665,341.495,-641.081,37550,13,9
30.999,108.296,-565.031,37550,13,9
-71.163,83.929,-633.15,37566,10,9
-30.023,109.44,-591.971,37585,10,9
2.682,317.995,-618.172,37591,10,9
-99.952,356.137,412.547,37614,14,9
-217.845,247.3,-538.845,37670,11,9
-111.921,216.81,-473.846,37800,9,9
-119.913,241.59,-451.741,37801,9,9
-95.429,307.3,-462.594,37801,9,9
-61.185,205.102,-527.468,37802,9,9
-89.413,316.263,-466.934,37802,9,9
-175.025,256.482,-625.671,37807,13,9
53.381,249.031,-602.898,37814,13,9
-119.655,225.861,-531.59,37924,11,9
14.617,227.36,-599.096,37953,11,9
-135.665,268.081,-656.201,38059,9,9
-200.763,235.004,-502.808,38063,9,9
-190.813,310.733,-471.563,38075,9,9
-126.906,250.754,-511.086,38078,9,9
-84.619,311.869,-554.242,38078,9,9
-160.581,269.151,-526.886,38078,9,9
-28.997,254.292,-553.902,38081,9,9
-158.742,394.55,-529.584,38082,9,9
-154.72,237.557,-615.882,38097,10,9
-76.191,73.382,-642.904,38121,10,9
158.224,162.718,512.396,38158,10,9
18.739,97.067,-558.747,38221,11,9
-195.647,209.587,-599.163,38325,9,9
-116.721,226.428,-392.772,38325,9,9
-62.095,256.471,-559.491,38330,9,9
-96.978,177.401,-569.755,38333,9,9
-188.844,307.867,-470.852,38340,9,9
-23.907,297.917,-536.356,38346,9,9
-151.035,242.086,-436.359,38346,9,9
-18.739,250.389,-686.569,38389,10,9
-225.41,232.719,-511.543,38426,11,9
-81.92,334.301,-582.543,38582,9,9
-182.665,240.323,-473.138,38584,9,9
-116.908,248.675,-382.632,38584,9,9
-136.602,290.834,-506.678,38586,9,9
-32.397,175.876,-550.237,38586,9,9
-99.325,209.782,-459.772,38589,9,9
-53.771,239.184,-430.219,38589,9,9
-94.133,267.159,-426.381,38589,9,9
-231.806,307.554,-518.079,38594,9,9
-184.857,257.456,-544.234,38594,9,9
-47.855,194.661,-330.017,38612,10,9
-205.213,204.491,-561.557,38613,10,9
-18.458,249.651,-686.61,38647,10,9
-114.276,208.735,-507.538,38664,11,9
-232.726,307.848,-518.823,38795,9,9
-131.142,237.891,-414.256,38795,9,9
-119.959,261.454,-316.697,38795,9,9
-99.643,262.452,-430.379,38795,9,9
-159.92,271.721,-530.425,38797,9,9
-161.822,303.56,-692.455,38810,6,9
-92.672,96.109,-443.709,38822,10,9
-239.411,259.631,-551.962,38853,10,9
-36.35,113.721,-590.676,38900,11,9
-164.785,255.475,-566.796,39000,9,9
-92.323,238.273,-577.079,39000,9,9
-167.167,269.972,-569.541,39006,9,9
-91.324,313.227,-465.299,39006,9,9
-149.189,247.266,-469.237,39009,9,9
-164.788,319.832,-629.714,39040,7,9
-81.495,335.137,-582.944,39118,11,9
-90.62,238.762,-577.563,39209,9,9
-90.684,212.833,-450.778,39209,9,9
-82.848,324.03,-477.092,39213,9,9
-151.365,256.932,-645.893,39271,7,9
-170.686,277.204,-635.102,39271,7,9
-206.304,245.946,-548.937,39323,11,9
-215.165,305.551,-654.786,39442,6,9
-251.228,336.449,-490.33,40236,7,9
-185.246,287.923,-683.088,40238,7,9
-130.308,259.21,-644.513,44194,18,9
-164.046,204.483,-380.414,45624,18,9
-153.153,215.018,-455.408,45690,18,9
-122.309,254.331,-668.111,46199,18,9
-150.283,218.919,-457.191,47117,18,9
-181.001,280.034,-544.151,47192,18,9
-198.675,235.328,-499.995,47192,18,9
-241.555,193.572,-613.537,47913,23,9
-68.819,99.626,-629.657,47964,16,9
-156.111,204.897,-390.728,48139,18,9
-110.296,272.676,-570.705,48629,18,9
-230.344,169.252,-632.207,48879,23,9
-75.348,247.706,-584.409,48971,13,9
-62.223,209.191,-589.537,48971,13,9
-24.977,171.926,-548.083,48975,13,9
-94.918,187.903,-498.17,48976,13,9
-98.51,156.634,-639.951,48977,13,9
32.618,107.202,-565.398,48977,13,9
-10.446,193.743,-400.495,48981,13,9
-135.374,345.463,-497.781,49027,14,9
-55.133,393.913,451.998,49037,14,9
-145.539,308.569,-496.499,49067,14,9
-51.034,347.341,-506.334,49071,14,9
-33.243,390.138,451.33,49072,14,9
-34.04,177.899,-551.811,49388,12,9
-168.418,279.997,-477.17,49388,12,9
-92.26,155.34,-563.106,49406,13,9
-54.934,162.671,-497.127,49412,13,9
-76.419,214.822,-318.245,49412,13,9
-85.387,149.687,-494.258,49449,13,9
-77.651,206.028,-320.661,49465,13,9
16.04,342.863,-625.544,49469,14,9
-105.357,291.937,-574.204,49474,13,9
-97.836,351.456,402.967,49534,14,9
-125.486,129.758,-587.249,49805,23,9
-120.084,23.654,-683.422,49854,12,9
-159.282,262.848,-474.01,49854,12,9
-141.107,226.668,-462.311,49854,12,9
-14.415,225.974,-586.183,49870,13,9
-16.873,193.42,-626.956,49875,13,9
-96.549,114.508,-452.211,49879,13,9
-93.445,196.544,-516.686,49902,13,9
-16.002,190.417,-628.389,49920,13,9
-95.925,201.001,-513.729,49924,13,9
-172.338,97.674,-520.328,50276,12,9
-328.579,264.81,-541.591,50283,12,9
-88.9,181.688,-501.005,50297,13,9
-83.279,205.762,-389.533,50303,13,9
-261.843,209.959,-607.682,50306,13,9
-228.905,317.014,-640.026,50306,13,9
-346.997,377.47,522.217,50332,13,9
-120.787,34.992,-673.289,50347,13,9
10.36,186.855,-585.653,50353,13,9
-85.327,177.767,-500.394,50361,13,9
-143.727,380.439,-498.678,50370,13,9
-84.259,331.012,-583.565,50401,14,9
-15.752,193.059,-627.207,50675,12,9
-148.102,246.56,-470.506,50675,12,9
-98.625,159.077,-637.302,50699,13,9
-52.638,174.507,-490.718,50701,13,9
-92.626,148.078,-406.416,50704,13,9
-257.544,247.302,-526.87,50711,13,9
-199.221,141.592,-625.805,50711,13,9
-32.418,229.177,-582.985,50726,13,9
-99.824,124.118,-452.14,50728,13,9
-36.725,178.735,-554.956,50731,13,9
-98.51,156.634,-639.951,50737,13,9
-87.94,314.345,-582.02,50764,14,9
-92.89,394.85,418.691,50768,14,9
25.422,256.04,-521.231,50811,14,9
-288.54,280.491,-571.919,51035,12,9
-87.99,129.106,-488.302,51054,13,9
-120.562,28.259,-680.743,51059,13,9
-77.768,182.691,-526.628,51060,13,9
-124.266,253.77,-589.151,51067,13,9
-15.802,260.232,-697.316,51073,13,9
-168.008,258.523,-605.308,51083,13,9
3.001,104.62,-564.78,51085,13,9
-80.158,247.335,-574.451,51088,13,9
-141.907,191.829,-521.669,51092,13,9
-88.223,129.832,-488.732,51104,13,9
-146.114,216.656,-518.228,51107,13,9
-90.573,142.369,-403.226,51110,13,9
-252.591,195.985,-617.065,51118,13,9
-80.158,246.153,-578.489,51191,11,9
-53.139,132.376,-509.204,51359,12,9
-233.954,194.998,-611.954,51366,12,9
-100.938,124.566,-707.339,51368,12,9
-125.765,134.284,-605.706,51384,12,9
-146.173,223.627,-461.327,51385,12,9
-97.984,204.42,-511.841,51405,13,9
7.996,188.046,-588.023,51427,13,9
-134.566,333.331,-498.69,51438,13,9
-167.784,266.377,-620.14,51444,13,9
-44.971,124.762,-588.582,51461,10,9
-134.572,318.302,-470.063,51495,14,9
