neuron_id,soma_x,soma_y,soma_z,celltype,column,intersomatic_distance
171879,-393.726,48.628,-799.808,9,12,411.24061391477375
171899,-282.725,29.734,-828.456,8,12,379.68443357872866
171902,-206.347,47.747,-824.868,8,12,342.12802780684314
171905,-214.556,52.492,-802.789,8,12,323.8824247717063
171913,-161.838,77.041,-820.928,8,13,316.19062313421
171916,-175.196,30.813,-799.323,8,13,324.89482303200833
171917,-198.841,78.178,-838.237,8,12,337.11964113797933
171922,-175.302,54.191,-810.957,8,13,321.04086802929
171924,-106.223,58.597,-801.888,8,13,307.51627766185
171926,-137.687,33.127,-837.03,9,13,350.57849793020677
171928,-145.335,45.996,-817.722,8,13,327.7917439991434
171931,-149.185,76.072,-817.123,8,13,312.07243836167277
171938,-74.686,53.318,-831.357,8,13,338.44666592537146
171939,-81.825,52.2,-838.153,9,13,343.8315343144081
171941,-71.293,54.253,-819.704,8,13,328.6664628266778
171945,-60.961,78.962,-816.481,9,13,315.5924832200539
171950,-23.931,69.31,-796.539,8,13,313.2776287656046
171958,-18.068,59.178,-810.625,8,13,331.55665954403634
171961,-45.983,48.479,-789.423,8,13,312.4254025939632
171963,19.445,49.088,-798.125,8,13,340.9993796783214
171969,8.838,33.526,-810.542,9,13,354.3107898230027
171971,30.771,29.162,-828.235,8,13,378.5374631459877
171977,93.347,49.548,-799.447,7,13,378.83766576331874
171978,71.57,47.643,-788.93,7,13,360.45510939089206
171979,83.99,40.742,-827.582,8,13,397.3079934672848
171981,62.256,62.45,-831.503,8,13,379.39705808558926
171985,107.124,40.071,-814.334,8,13,401.1895964279233
171988,109.372,52.878,-831.857,8,13,408.87029422055105
171992,127.272,41.241,-803.108,7,13,405.3667220900107
171997,163.853,53.509,-799.026,7,13,421.43079156962415
172003,190.602,38.089,-822.327,7,13,460.10899772662566
172011,202.878,43.509,-807.967,8,14,458.04491968910645
172012,198.181,40.678,-820.041,7,14,462.92833446333793
172021,248.916,48.58,-818.439,7,14,495.85227821196906
172023,254.257,35.154,-810.741,8,14,500.6629542606483
172024,263.88,69.071,-824.669,8,14,503.86521130655564
172044,387.227,45.605,-813.013,8,14,605.3050052708965
172051,443.265,51.389,-825.213,7,14,656.9108524404206
172054,418.707,69.767,-788.818,7,14,615.6831182572736
172083,564.775,74.787,-813.451,7,14,755.1024172772857
172090,565.731,47.756,-804.825,8,14,758.8294436966717
172118,743.595,45.807,-795.17,7,15,921.2654192983692
172122,699.402,65.079,-806.246,7,15,879.2472333615842
172126,789.09,61.034,-827.999,7,15,970.606426770398
172127,768.19,63.59,-796.554,7,15,941.618928799225
172142,806.658,61.532,-790.03,7,15,976.8443152626728
172151,884.138,64.449,-835.927,7,15,1062.174291617435
172163,954.862,35.679,-811.215,7,15,1127.9124341459312
172165,992.654,51.988,-828.087,7,15,1165.5672397060582
172169,946.981,69.449,-825.156,7,15,1118.5592008056612
172182,1070.87,65.44,-836.949,7,15,1240.9777995467928
172423,-463.256,99.89,-798.253,8,12,441.6783504497362
172426,-466.051,107.524,-802.027,9,12,443.9018571812918
172427,-435.89,113.848,-823.609,9,12,432.9923086152917
172429,-407.051,85.161,-803.74,9,12,408.52351154248146
172433,-436.405,84.68,-798.241,8,12,426.21424236761493
172446,-383.065,84.808,-801.204,9,12,390.7677193551176
172450,-381.441,81.647,-799.496,8,12,389.7288707742858
172453,-384.392,109.679,-795.015,8,12,379.2833767316991
172456,-313.831,116.496,-795.371,9,12,332.8534657788619
172457,-343.83,117.221,-795.506,8,12,350.663435467686
172459,-327.404,107.426,-794.413,8,12,343.0757097434909
172460,-346.841,106.106,-817.469,8,12,371.9453831639802
172464,-352.347,81.469,-806.632,8,12,376.1957026376032
172469,-271.879,99.749,-820.783,9,12,337.63952605404484
172471,-283.933,122.907,-793.644,9,12,313.2676485866359
172494,-173.008,100.149,-829.749,8,13,315.52391377675326
172498,-202.437,105.211,-822.714,8,12,313.1602316562562
172500,-138.547,120.048,-831.562,8,13,306.31834690400115
172507,-150.389,88.455,-826.029,9,13,314.3790665391066
172508,-115.761,123.026,-833.161,8,13,306.6059381698273
172509,-108.464,108.985,-820.479,8,13,300.1749580378084
172515,-83.469,86.302,-832.514,8,13,322.6901695031939
172516,-92.721,113.994,-799.215,8,13,280.03957224113884
172521,-61.465,105.405,-813.261,8,13,301.2145498842975
172523,-20.716,86.035,-797.645,9,13,307.25526355296176
172530,-45.397,105.916,-797.37,8,13,290.8551734489177
172536,35.086,93.546,-793.584,9,13,324.05600618565916
172539,23.899,120.816,-809.443,8,13,321.33747766639357
172548,76.735,90.596,-829.143,8,13,373.91047848515825
172549,87.385,95.817,-838.268,8,13,384.8419648050353
172550,75.09,105.599,-813.519,8,13,355.9024312546909
172555,119.657,118.926,-819.294,8,13,382.8240099340688
172556,127.254,126.845,-815.999,8,13,383.26367081292744
172564,181.695,112.173,-803.873,8,10,417.0565228910825
172568,176.958,109.407,-826.485,8,10,428.8822089117244
172572,177.465,124.064,-837.817,8,10,433.09618280123414
172578,241.933,106.745,-799.387,8,10,461.95248623424465
172586,248.799,80.683,-811.46,8,14,481.3129641750781
172599,304.812,109.599,-795.638,7,14,510.74291022587875
172603,324.837,118.854,-822.422,7,10,539.0383379445288
172606,379.613,85.764,-788.959,8,14,577.4616841393029
172613,418.7,117.038,-819.269,7,14,618.3528700992662
172620,402.448,84.871,-807.267,8,14,605.4287250742237
172640,502.527,119.806,-807.426,8,14,688.0996351445043
172647,579.117,104.476,-828.572,7,11,768.3999654255589
172667,606.095,90.341,-832.218,8,11,796.7685971290535
172680,700.715,104.282,-807.517,7,11,874.5563195317956
172700,824.665,121.157,-794.318,7,15,987.0058523610688
172712,917.414,91.424,-800.684,7,15,1081.2787465797153
172715,917.059,100.818,-803.456,7,15,1080.4709805108141
172733,996.179,113.957,-790.058,7,15,1152.65389784922
173017,-402.896,168.955,-800.159,8,12,382.3336299947992
173020,-405.534,144.343,-811.797,9,12,396.41416993972354
173021,-364.746,174.99,-809.604,8,12,361.46820217689964
173037,-313.889,147.105,-797.604,8,12,325.8664327650211
173047,-285.824,153.543,-799.791,9,12,310.61825936187336
173049,-279.577,129.091,-825.806,8,12,335.55827147456824
173051,-244.812,163.322,-808.292,8,12,296.69153669931336
173055,-206.672,166.102,-823.552,9,9,297.06152882694187
173059,-245.032,144.415,-830.031,8,12,320.5346376181519
173063,-192.74,136.7,-810.913,8,12,289.1753656243906
173065,-176.334,168.284,-836.063,9,9,301.76477462420956
173068,-173.333,145.482,-817.891,9,9,289.1872133497606
173073,-123.365,168.105,-803.348,8,9,265.2858726336553
173074,-154.587,155.762,-818.288,8,9,284.2891296655572
173076,-120.356,171.898,-804.055,8,9,265.2092601475295
173079,-123.895,165.38,-818.99,9,9,281.1456376222117
173080,-122.478,156.489,-811.726,8,13,276.15599956184184
173081,-154.342,167.081,-788.651,8,9,252.9695384922856
173083,-69.029,164.987,-836.655,8,13,303.6000938240961
173088,-72.945,166.802,-816.199,8,13,282.84076097514657
173094,-61.927,177.485,-799.731,8,13,267.26219010178
173095,-56.559,142.812,-831.917,8,13,306.83720578345776
173097,-18.855,166.554,-817.128,8,13,298.3783605659097
173101,-30.212,167.349,-803.779,9,13,282.0708554406144
173102,-33.735,135.525,-815.359,8,13,299.6373979629379
173109,22.411,130.395,-830.283,8,13,335.2337567638438
173110,39.234,133.385,-791.061,7,13,310.0913900916954
173112,43.264,142.753,-795.411,8,13,313.0726545085022
173113,30.041,154.84,-796.078,8,13,303.6937642329852
173119,13.793,136.325,-792.477,8,13,297.7288302432265
173121,48.646,165.228,-791.562,7,13,307.7438491164364
173124,91.451,142.119,-824.795,8,13,363.61864676333636
173126,74.702,170.659,-789.553,8,13,320.6054725063189
173127,87.156,130.245,-802.259,8,13,346.9568107315376
173131,127.723,159.643,-823.406,8,10,381.8308604539449
173132,103.332,147.91,-806.184,8,13,355.6178983192494
173141,177.973,162.804,-788.609,7,10,393.76038565223905
173144,189.545,169.267,-814.843,7,10,418.2222015747131
173146,161.354,155.839,-807.057,7,10,394.395606224258
173150,204.709,135.344,-828.461,8,10,444.0664457814844
173155,195.29,160.653,-815.761,8,10,424.37573984501046
173161,268.443,170.363,-809.29,9,10,477.0573693666203
173164,246.866,167.812,-829.377,8,10,471.62420600304216
173166,285.043,178.253,-806.997,7,10,488.75529733190615
173168,281.938,148.833,-805.652,7,10,489.18622538865503
173169,252.7,159.347,-827.68,7,10,476.3230401838651
173171,258.524,171.587,-832.889,7,10,482.50747047170165
173172,321.105,137.464,-804.235,8,10,523.2678139241893
173176,323.913,137.627,-804.256,8,10,525.6437867025539
173179,333.593,154.601,-808.436,7,10,533.4435838540005
173181,318.487,178.699,-807.27,8,10,517.1948436430897
173185,352.109,146.235,-835.722,7,10,564.1632636205587
173188,352.732,175.166,-811.516,7,10,549.1756503533272
173193,440.894,178.712,-829.107,8,10,634.7149060326219
173201,479.491,149.242,-830.681,7,14,672.7043136126005
173217,511.052,176.323,-819.985,8,11,694.4269629939495
173219,588.952,164.303,-803.193,7,11,761.3570699303974
173254,713.468,130.072,-819.943,7,11,887.2157243511862
173284,860.578,147.755,-819.204,7,15,1025.5939258078706
173289,897.061,149.098,-800.111,7,15,1055.797966444812
173305,983.301,142.708,-825.902,7,15,1145.9534558061248
173307,954.257,133.484,-790.842,7,15,1110.3214869910425
173546,-544.885,224.119,-801.567,9,8,492.86783948843726
173556,-466.778,218.42,-834.396,9,8,448.72319871943324
173558,-462.584,226.271,-831.013,9,8,443.27717132850415
173573,-401.877,197.463,-816.397,9,12,389.56100470914697
173577,-365.257,222.975,-819.364,9,12,365.5270617874961
173583,-316.921,223.806,-797.74,8,12,318.17823130754874
173598,-277.304,224.392,-810.915,8,12,307.2497717493049
173607,-233.913,216.738,-823.057,8,9,299.5283999239471
173610,-221.093,180.892,-790.79,8,9,268.44459279709844
173611,-243.004,191.724,-809.139,8,12,292.0669971907131
173613,-240.894,202.419,-822.683,9,9,302.57045141421196
173614,-222.811,224.538,-822.311,8,9,294.81338677373526
173617,-197.044,186.518,-792.384,9,9,261.35569740298376
173618,-183.397,209.675,-831.802,8,9,293.8284922926979
173622,-204.292,185.765,-808.484,8,9,278.7756587544903
173623,-189.445,215.32,-829.898,8,9,292.99279669302456
173624,-174.838,224.613,-819.323,9,9,279.50889569564686
173626,-188.087,179.575,-820.562,9,9,287.1383468695883
173628,-132.389,207.54,-802.349,8,9,258.71309439802235
173629,-122.516,207.477,-797.321,9,9,253.58717271384216
173633,-136.388,228.894,-813.938,8,9,269.8225652183301
173634,-131.591,218.415,-795.754,9,9,251.5633633798849
173636,-128.592,191.003,-799.765,8,9,257.75027254495774
173639,-148.35,214.386,-837.022,8,9,293.81800926594
173640,-89.966,226.844,-816.922,8,9,274.69606336640504
173641,-99.195,200.5,-791.605,8,9,249.76862578994985
173644,-74.949,198.702,-833.992,8,9,295.03100487575875
173647,-96.232,225.63,-816.534,9,9,273.59223057133767
173651,-13.49,205.756,-794.983,8,9,274.7717398059705
173652,-36.065,218.238,-818.593,8,9,288.1791740584319
173657,-35.78,223.015,-796.258,8,9,267.01969042375885
173671,25.336,219.329,-824.5,9,9,317.69170973445307
173675,5.863,215.104,-809.529,8,9,295.60727039266135
173681,86.631,211.919,-821.598,9,10,348.67990268869806
173686,70.605,209.313,-809.988,8,10,329.9189777066485
173688,110.279,205.869,-831.111,8,10,371.0627483782224
